IBITINGASP;SP;Ibitinga;BARCARENAPA;PA;Barcarena;Barcarena;0
INOCENCIAMS;MS;Inocencia;BARCARENAPA;PA;Barcarena;Barcarena;0
ITAITUBAPA;PA;Itaituba;BARCARENAPA;PA;Barcarena;Barcarena;1.107
ITUMBIARAGO;GO;Itumbiara;BARCARENAPA;PA;Barcarena;Barcarena;0
ITURAMAMG;MG;Iturama;BARCARENAPA;PA;Barcarena;Barcarena;0
IVINHEMAMS;MS;Ivinhema;BARCARENAPA;PA;Barcarena;Barcarena;0
JUSSARAPR;PR;Jussara;BARCARENAPA;PA;Barcarena;Barcarena;0
JUTIMS;MS;Juti;BARCARENAPA;PA;Barcarena;Barcarena;0
MARACAJUMS;MS;Maracaju;BARCARENAPA;PA;Barcarena;Barcarena;0
NAVIRAIMS;MS;Navirai;BARCARENAPA;PA;Barcarena;Barcarena;0
PANORAMASP;SP;Panorama;BARCARENAPA;PA;Barcarena;Barcarena;0
PARDOPK214MS;MS;Santa Rita do Pardo;BARCARENAPA;PA;Barcarena;Barcarena;0
PEREIRA BARRETOSP;SP;Pereira Barreto;BARCARENAPA;PA;Barcarena;Barcarena;0
PEDERNEIRASSP;SP;Pederneiras;BARCARENAPA;PA;Barcarena;Barcarena;0
PORTO RICOPR;PR;Porto Rico;BARCARENAPA;PA;Barcarena;Barcarena;0
PORTO VELHORO;RO;Porto Velho;BARCARENAPA;PA;Barcarena;Barcarena;2.503
PRESIDENTE EPITACIOSP;SP;Presidente Epitacio;BARCARENAPA;PA;Barcarena;Barcarena;0
RIO BRILHANTEMS;MS;Rio Brilhante;BARCARENAPA;PA;Barcarena;Barcarena;0
ROSANASP;SP;Rosana;BARCARENAPA;PA;Barcarena;Barcarena;0
SABINOSP;SP;Sabino;BARCARENAPA;PA;Barcarena;Barcarena;0
SANTA HELENAPR;PR;Santa Helena;BARCARENAPA;PA;Barcarena;Barcarena;0
SAO SIMAOGO;GO;Sao Simao;BARCARENAPA;PA;Barcarena;Barcarena;0
SUCURIUPK170MS;MS;Alto Sucuriu;BARCARENAPA;PA;Barcarena;Barcarena;0
TEODORO SAMPAIOSP;SP;Teodoro Sampaio;BARCARENAPA;PA;Barcarena;Barcarena;0
TRES LAGOASMS;MS;Tres Lagoas;BARCARENAPA;PA;Barcarena;Barcarena;0
UBARANASP;SP;Ubarana;BARCARENAPA;PA;Barcarena;Barcarena;0
APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;JUSSARAPR;PR;Jussara;Jussara;714
