UF_id;UF;Nome_UF;Nome_Microrregiao;Codigo Municipio Completo;Nome_Municipio;Codigo de Distrito Completo;Nome_Distrito;;;;
13;AM;Amazonas;Jurua;1301654;Guajara;130165405;Guajara;;;;
13;AM;Amazonas;Madeira;1301704;Humaita;130170405;Humaita;;;;
13;AM;Amazonas;Jurua;1301803;Ipixuna;130180305;Ipixuna;;;;
13;AM;Amazonas;Manaus;1301852;Iranduba;130185205;Iranduba;;;;
13;AM;Amazonas;Manaus;1301852;Iranduba;130185210;Ariau;;;;
13;AM;Amazonas;Manaus;1301852;Iranduba;130185215;Cacau Pirera;;;;
13;AM;Amazonas;Manaus;1301852;Iranduba;130185220;Lago do Limao;;;;
13;AM;Amazonas;Manaus;1301852;Iranduba;130185225;Paricatuba;;;;
13;AM;Amazonas;Itacoatiara;1301902;Itacoatiara;130190205;Itacoatiara;;;;
13;AM;Amazonas;Itacoatiara;1301902;Itacoatiara;130190210;Amatari;;;;
13;AM;Amazonas;Jurua;1301951;Itamarati;130195105;Itamarati;;;;
13;AM;Amazonas;Itacoatiara;1302009;Itapiranga;130200905;Itapiranga;;;;
13;AM;Amazonas;Japura;1302108;Japura;130210805;Japura;;;;
13;AM;Amazonas;Jurua;1302207;Jurua;130220705;Jurua;;;;
13;AM;Amazonas;Alto Solimoes;1302306;Jutai;130230605;Jutai;;;;
13;AM;Amazonas;Purus;1302405;Labrea;130240505;Labrea;;;;
13;AM;Amazonas;Manaus;1302504;Manacapuru;130250405;Manacapuru;;;;
13;AM;Amazonas;Manaus;1302553;Manaquiri;130255305;Manaquiri;;;;
13;AM;Amazonas;Manaus;1302603;Manaus;130260305;Manaus;;;;
13;AM;Amazonas;Madeira;1302702;Manicore;130270205;Manicore;;;;
13;AM;Amazonas;Japura;1302801;Maraa;130280105;Maraa;;;;
13;AM;Amazonas;Parintins;1302900;Maues;130290005;Maues;;;;
13;AM;Amazonas;Parintins;1302900;Maues;130290010;Osorio da Fonseca;;;;
13;AM;Amazonas;Parintins;1302900;Maues;130290015;Repartimento;;;;
13;AM;Amazonas;Parintins;1303007;Nhamunda;130300705;Nhamunda;;;;
13;AM;Amazonas;Itacoatiara;1303106;Nova Olinda do Norte;130310605;Nova Olinda do Norte;;;;
13;AM;Amazonas;Rio Negro;1303205;Novo Airao;130320505;Novo Airao;;;;
13;AM;Amazonas;Madeira;1303304;Novo Aripuana;130330405;Novo Aripuana;;;;
13;AM;Amazonas;Parintins;1303403;Parintins;130340305;Parintins;;;;
13;AM;Amazonas;Parintins;1303403;Parintins;130340310;Mocambo;;;;
13;AM;Amazonas;Boca do Acre;1303502;Pauini;130350205;Pauini;;;;
13;AM;Amazonas;Rio Preto da Eva;1303536;Presidente Figueiredo;130353605;Presidente Figueiredo;;;;
13;AM;Amazonas;Rio Preto da Eva;1303536;Presidente Figueiredo;130353610;Balbina;;;;
13;AM;Amazonas;Rio Preto da Eva;1303569;Rio Preto da Eva;130356905;Rio Preto da Eva;;;;
13;AM;Amazonas;Rio Negro;1303601;Santa Isabel do Rio Negro;130360105;Santa Isabel do Rio Negro;;;;
13;AM;Amazonas;Alto Solimoes;1303700;Santo Antonio do Ica;130370005;Santo Antonio do Ica;;;;
13;AM;Amazonas;Alto Solimoes;1303700;Santo Antonio do Ica;130370015;Alterosa;;;;
13;AM;Amazonas;Rio Negro;1303809;Sao Gabriel da Cachoeira;130380905;Sao Gabriel da Cachoeira;;;;
13;AM;Amazonas;Rio Negro;1303809;Sao Gabriel da Cachoeira;130380912;Cucui;;;;
13;AM;Amazonas;Rio Negro;1303809;Sao Gabriel da Cachoeira;130380915;Icana;;;;
13;AM;Amazonas;Rio Negro;1303809;Sao Gabriel da Cachoeira;130380920;Sao Felipe;;;;
13;AM;Amazonas;Alto Solimoes;1303908;Sao Paulo de Olivenca;130390805;Sao Paulo de Olivenca;;;;
13;AM;Amazonas;Alto Solimoes;1303908;Sao Paulo de Olivenca;130390815;Santa Rita;;;;
13;AM;Amazonas;Parintins;1303957;Sao Sebastiao do Uatuma;130395705;Sao Sebastiao do Uatuma;;;;
13;AM;Amazonas;Parintins;1303957;Sao Sebastiao do Uatuma;130395710;Santana;;;;
13;AM;Amazonas;Itacoatiara;1304005;Silves;130400505;Silves;;;;
13;AM;Amazonas;Alto Solimoes;1304062;Tabatinga;130406205;Tabatinga;;;;
13;AM;Amazonas;Purus;1304104;Tapaua;130410405;Tapaua;;;;
13;AM;Amazonas;Tefe;1304203;Tefe;130420305;Tefe;;;;
13;AM;Amazonas;Alto Solimoes;1304237;Tonantins;130423705;Tonantins;;;;
13;AM;Amazonas;Tefe;1304260;Uarini;130426005;Uarini;;;;
13;AM;Amazonas;Parintins;1304302;Urucara;130430205;Urucara;;;;
13;AM;Amazonas;Itacoatiara;1304401;Urucurituba;130440105;Urucurituba;;;;
13;AM;Amazonas;Itacoatiara;1304401;Urucurituba;130440110;Augusto Montenegro;;;;
13;AM;Amazonas;Itacoatiara;1304401;Urucurituba;130440115;Itapeacu;;;;
14;RR;Roraima;Boa Vista;1400050;Alto Alegre;140005005;Alto Alegre;;;;
14;RR;Roraima;Boa Vista;1400027;Amajari;140002705;Amajari;;;;
14;RR;Roraima;Boa Vista;1400100;Boa Vista;140010005;Boa Vista;;;;
14;RR;Roraima;Nordeste de Roraima;1400159;Bonfim;140015905;Bonfim;;;;
14;RR;Roraima;Nordeste de Roraima;1400175;Canta;140017505;Canta;;;;
14;RR;Roraima;Caracarai;1400209;Caracarai;140020905;Caracarai;;;;
14;RR;Roraima;Sudeste de Roraima;1400233;Caroebe;140023305;Caroebe;;;;
14;RR;Roraima;Caracarai;1400282;Iracema;140028205;Iracema;;;;
14;RR;Roraima;Caracarai;1400308;Mucajai;140030805;Mucajai;;;;
14;RR;Roraima;Nordeste de Roraima;1400407;Normandia;140040705;Normandia;;;;
14;RR;Roraima;Boa Vista;1400456;Pacaraima;140045605;Pacaraima;;;;
14;RR;Roraima;Sudeste de Roraima;1400472;Rorainopolis;140047205;Rorainopolis;;;;
14;RR;Roraima;Sudeste de Roraima;1400506;Sao Joao da Baliza;140050605;Sao Joao da Baliza;;;;
14;RR;Roraima;Sudeste de Roraima;1400605;Sao Luiz;140060505;Sao Luiz;;;;
14;RR;Roraima;Nordeste de Roraima;1400704;Uiramuta;140070405;Uiramuta;;;;
15;PA;Para;Cameta;1500107;Abaetetuba;150010705;Abaetetuba;;;;
15;PA;Para;Cameta;1500107;Abaetetuba;150010710;Beja;;;;
15;PA;Para;Paragominas;1500131;Abel Figueiredo;150013105;Abel Figueiredo;;;;
15;PA;Para;Tome Acu;1500206;Acara;150020605;Acara;;;;
15;PA;Para;Tome Acu;1500206;Acara;150020610;Guajara Miri;;;;
15;PA;Para;Tome Acu;1500206;Acara;150020615;Jaguarari;;;;
15;PA;Para;Furos de Breves;1500305;Afua;150030505;Afua;;;;
15;PA;Para;Parauapebas;1500347;Agua Azul do Norte;150034705;Agua Azul do Norte;;;;
15;PA;Para;Santarem;1500404;Alenquer;150040405;Alenquer;;;;
15;PA;Para;Almeirim;1500503;Almeirim;150050305;Almeirim;;;;
15;PA;Para;Almeirim;1500503;Almeirim;150050310;Arumanduba;;;;
15;PA;Para;Almeirim;1500503;Almeirim;150050315;Monte Dourado;;;;
15;PA;Para;Altamira;1500602;Altamira;150060205;Altamira;;;;
15;PA;Para;Altamira;1500602;Altamira;150060206;Cachoeira da Serra;;;;
15;PA;Para;Altamira;1500602;Altamira;150060207;Castelo dos Sonhos;;;;
15;PA;Para;Furos de Breves;1500701;Anajas;150070105;Anajas;;;;
15;PA;Para;Belem;1500800;Ananindeua;150080005;Ananindeua;;;;
15;PA;Para;Altamira;1500859;Anapu;150085905;Anapu;;;;
15;PA;Para;Bragantina;1500909;Augusto Correa;150090905;Augusto Correa;;;;
15;PA;Para;Bragantina;1500909;Augusto Correa;150090910;Aturiai;;;;
15;PA;Para;Bragantina;1500909;Augusto Correa;150090915;Emborai;;;;
